distance_band,distance_band_order,shipment_count,order_count,seller_count,average_distance_km,total_value,average_freight_value,freight_percentage,average_delivery_days,late_delivery_rate,average_review_score,low_review_rate
0–99 km,1,18092,17986,1614,40.05,2277481.38,13.29,10.56,6.49,6.34,4.26,10.87
100–299 km,2,13578,13488,1568,200.32,2007351.08,18.48,12.5,9.95,6.33,4.23,11.24
300–599 km,3,31961,31676,2206,430.03,4920307.95,22.05,14.32,12.58,7.68,4.11,13.95
600–999 km,4,18178,18026,1922,784.84,2943786.32,24.46,15.11,14.65,8.36,4.1,13.83
"1,000–1,499 km",5,6672,6620,1341,1234.06,1300372.74,29.34,15.05,17.18,9.98,4.03,15.53
"1,500+ km",6,8851,8791,1400,2113.08,1897372.41,39.55,18.45,20.49,12.98,3.99,16.28
