delivery_timing,delivery_timing_order,delivered_orders,average_delivery_days,average_days_from_estimate,average_review_score,low_review_rate,five_star_review_rate,average_order_value
8+ days early,1,66475,10.13,-15.73,4.32,8.91,63.84,162.2
1–7 days early,2,20707,12.89,-5.16,4.22,10.1,58.41,148.34
On schedule,3,2754,18.02,0.17,4.1,11.68,53.22,150.21
1–3 days late,4,1370,22.82,2.07,3.51,25.44,36.21,159.38
4–7 days late,5,1819,26.68,5.12,2.32,61.31,18.1,178.64
8+ days late,6,3345,42.46,18.45,1.73,78.44,7.47,181.64
